Job_ID	Operation_ID	Start	End	Machine_ID
1	1	207	212	6
1	2	217	323	2
1	3	323	328	5
1	4	357	432	8
1	5	432	437	4
1	6	437	512	9
1	7	512	517	6
1	8	517	520	8
1	9	520	525	6
1	10	528	558	18
1	11	558	563	5
1	12	583	670	7
1	13	670	675	5
1	14	675	705	18
1	15	705	710	5
1	16	710	767	8
1	17	767	772	6
1	18	772	807	9
1	19	807	812	5
1	20	824	828	8
1	21	844	849	5
1	22	854	864	16
1	23	868	873	5
1	24	926	959	8
1	25	959	964	6
1	26	964	1009	9
1	27	1009	1014	5
1	28	1016	1061	8
2	29	106	111	5
2	30	111	217	1
2	31	222	227	5
2	32	279	354	8
2	33	354	359	5
2	34	359	434	15
2	35	434	439	5
2	36	439	442	8
2	37	442	447	5
2	38	447	477	17
2	39	477	482	6
2	40	493	580	7
2	41	580	585	6
2	42	585	615	18
2	43	615	620	6
2	44	767	824	8
2	45	824	829	6
2	46	829	864	11
2	47	864	869	6
2	48	869	873	8
2	49	873	878	3
2	50	878	888	18
2	51	888	893	3
2	52	893	926	8
2	53	926	931	5
2	54	931	976	18
2	55	978	983	4
2	56	983	1028	7
3	57	0	5	6
3	58	5	111	1
3	59	111	116	6
3	60	116	191	7
3	61	191	196	6
3	62	196	271	17
3	63	271	276	6
3	64	276	279	8
3	65	279	284	6
3	66	284	314	16
3	67	314	319	5
3	68	319	406	7
3	69	406	411	4
3	70	411	441	17
3	71	441	446	6
3	72	446	503	8
3	73	503	508	5
3	74	508	543	17
3	75	543	548	5
3	76	548	552	8
3	77	552	557	6
3	78	557	567	14
3	79	567	572	6
3	80	572	605	8
3	81	605	610	6
3	82	610	655	17
3	83	655	660	6
3	84	660	705	8
4	85	0	5	5
4	86	5	111	2
4	87	111	116	5
4	88	116	191	8
4	89	191	196	5
4	90	196	271	10
4	91	271	276	5
4	92	354	357	8
4	93	359	364	5
4	94	364	394	17
4	95	394	399	5
4	96	406	493	7
4	97	493	498	5
4	98	498	528	18
4	99	528	533	5
4	100	757	814	7
4	101	814	819	5
4	102	819	854	16
4	103	854	859	5
4	104	859	863	8
4	105	863	868	5
4	106	868	878	18
4	107	878	883	5
4	108	883	916	7
4	109	916	921	5
4	110	921	966	11
4	111	966	971	4
4	112	971	1016	8
5	113	101	106	5
5	114	111	217	2
5	115	217	222	5
5	116	222	297	7
5	117	297	302	5
5	118	302	377	18
5	119	377	382	5
5	120	580	583	7
5	121	583	588	5
5	122	588	618	10
5	123	618	623	5
5	124	670	757	7
5	125	757	762	5
5	126	762	792	10
5	127	792	797	4
5	128	814	871	7
5	129	871	876	4
5	130	876	911	9
5	131	911	916	5
5	132	916	920	7
5	133	920	925	6
5	134	925	935	10
5	135	935	940	5
5	136	940	973	7
5	137	973	978	4
5	138	978	1023	17
5	139	1023	1028	5
5	140	1028	1073	7
