Operation,Machine,Start,End
77,1,92,108
60,1,139,155
43,1,250,266
9,1,60,76
26,1,205,221
53,2,121,133
2,2,40,52
12,2,58,78
36,2,236,248
70,2,78,90
19,2,188,200
63,2,136,156
46,2,251,271
80,2,95,115
29,2,212,232
17,2,115,118
34,2,271,274
51,2,300,303
85,2,156,159
68,2,185,188
4,3,43,50
72,3,80,87
55,3,127,134
21,3,195,202
38,3,237,244
6,4,29,53
74,4,61,85
57,4,104,128
40,4,217,241
65,4,161,180
23,4,180,204
14,4,85,104
82,4,128,147
48,4,276,295
31,4,242,261
56,5,0,6
3,5,6,9
71,5,9,12
73,5,12,18
54,5,18,21
1,5,21,23
37,5,23,26
20,5,26,29
10,5,50,52
69,5,29,31
39,5,31,37
27,5,202,204
45,5,241,246
76,5,87,90
79,5,90,95
62,5,128,133
58,5,133,135
64,5,156,161
41,5,248,250
49,5,266,268
24,5,200,202
44,5,246,248
28,5,204,209
16,5,104,109
81,5,115,120
83,5,109,111
30,5,232,237
50,5,295,300
33,5,261,266
22,6,0,6
52,6,6,8
5,6,8,14
11,6,53,58
61,6,134,136
35,6,14,16
18,6,16,18
7,6,58,60
42,6,244,247
75,6,90,92
13,6,78,83
8,6,50,53
59,6,136,139
78,6,87,89
25,6,202,205
67,6,180,185
47,6,271,276
15,6,76,78
66,6,155,157
32,6,221,223
84,6,147,152
